Ano da Produção,Título da Produção,Tipo da Produção,Subtipo da Produção,Discente,Docente,Egresso,Participante Externo,Sem categoria
2024,BRAZIL DATA CUBE WORKFLOW ENGINE: A TOOL FOR BIG EARTH OBSERVATION DATA PROCESSING,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,2,1,2,0
2024,BRAZIL DATA CUBE: GRANDES VOLUMES DE IMAGENS MODELADAS COMO CUBOS DE DADOS MULTIDIMENSIONAIS E ANÁLISE DE SÉRIES TEMPORAIS,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,2,0,0,0
2024,BRAZIL DATA CUBE: SATELLITE IMAGE DATA CUBES AND TIME SERIES ANALYSIS FOR LAND USE AND LAND COVER MAPPING,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,2,0,0,0
2024,"BRIEF HISTORICAL REVIEW OF THE RTG, ITS APPLICATION TO SPACE EXPLORATION AND THE SHORTAGE OF FUEL MATERIAL IN THE LAST 20 YEARS",BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,1,0,0,0
2024,CHALLENGES IN REAL-TIME GENERATION OF SCINTILLATION INDEX MAPS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,0,1,0
2024,CHARACTERIZING COLORED NOISE TIME SERIES PATTERNS WITH DEEP LEARNING MODELS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,3,1,1,0
2024,CHARACTERIZING COMPLEX SPATIOTEMPORAL PATTERNS FROM ENTROPY MEASURES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,1,2,0
2024,CHARACTERIZING THE SPIKE TIMING OF A CHAOTIC LASER BY USING ORDINAL ANALYSIS AND MACHINE LEARNING,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,CLASSIFICAÇÃO SUPERVISIONADA DE ÁREAS QUEIMADAS DO CERRADO UTILIZANDO ATRIBUTOS ESPECTRAIS PROVENIENTES DE SÉRIES TEMPORAIS DO SENSOR WFI,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,CLASSIFYING GALAXIES OUTSIDE THE SPIRAL-ELLIPTICAL DICHOTOMY IN THE LSST ERA,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,0,0,0
2024,COMITÊ GESTOR DO BRAZILIAN PARTICIPATION GROUP (BPG)-LSST,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,COMPARING THE SEGMENT ANYTHING MODEL WITH REGION GROWING ALGORITHMS IN THEDETECTION OF IRRIGATED CROPLANDS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,4,0
2024,CONSULTOR DE IA E TI NO PROJETO PIPE-FAPESP-FASE II - PROCESSO,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,CONTRIBUTIONS OF THE BRAZIL?S NATIONAL INSTITUTE FOR SPACE RESEARCH (INPE) TO EMERGENCY RESPONSE IN THE INTERNATIONAL SPACE AND MAJOR DISASTERS CHARTER,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,1,0
2024,CÁLCULO DA POTÊNCIA TÉRMICA DE DECAIMENTO ALFA PARA OS RADIOISÓTOPOS PU238 E AM241 COM APLICAÇÃO EM GERADORES TERMOELÉTRICOS DE RADIOISÓTOPOS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,DEEP LEARNING-BASED ACTIVE FIRE DETECTION USING SATELLITE IMAGERY,BIBLIOGRÁFICA,LIVRO,0,1,2,1,0
2024,DYNAMIC MULTI-TARGET THREE-WAY THREAT ASSESSMENT IN THE CONTEXT OF AIR DEFENSE,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,EMPIRICAL EVIDENCE REGARDING FEW-SHOT LEARNING FOR SCENE CLASSIFICATION IN REMOTE SENSING IMAGES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,ENHANCING EXPLAINABILITY IN ORAL CANCER DETECTION WITH GRAD-CAM VISUALIZATIONS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,1,0,1,0
2024,ENHANCING LOW-COST MOLECULAR PROPERTY PREDICTION WITH CONTRASTIVE LEARNING ON SMILES REPRESENTATIONS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,1,0,2,0
2024,EVALUATING FOREST DISTURBANCE DETECTION METHODS BASED ON SATELLITE IMAGE TIME SERIES FOR AMAZON DEFORESTATION ALERTS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,0,1,0
2024,FUZZY INFERENCE SYSTEM FOR FORECASTING NON-AERONAUTICAL REVENUES CONSIDERING THE CUSTOMER EXPERIENCE,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,GEOREFERENCED INFORMATION BASE PROGRAM (BIG)  AND BRAZIL DATA CUBE (BDC),TÉCNICA,CURSO DE CURTA DURAÇÃO,0,2,0,0,0
2024,HOW WILL GREEN HYDROGEN PRODUCTIO BE AFFECTED BY THE FUSION POWER GENERATION PARADGM?,TÉCNICA,APRESENTAÇÃO DE TRABALHO,1,1,1,0,0
2024,IMPACT OF AGENT-BASED INTERVENTION STRATEGIES ON THE COVID-19 PANDEMIC IN LARGE-SCALE DYNAMIC CONTACT NETWORKS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,IMPROVEMENT OF TOPSIDE IONOSPHERE AND PLASMASPHERE ESTIMATION IN IONOSPHERIC SIMULATION SYSTEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,0,1,0
2024,INOVAÇÕES EM COMPUTAÇÃO APLICADA PARA CLASSIFICAÇÃO AUTOMÁTICA DE GALÁXIAS,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,0,0,0
2024,LAND USE AND LAND COVER CHANGES WITHOUT INVALID TRANSITIONS: A CASE STUDY IN A LANDSLIDE-AFFECTED AREA,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,2,0,4,0
2024,MACHINE LEARNING ALGORITHM PARTIALLY RECONFIGURED ON FPGA FOR AN IMAGE EDGE DETECTION SYSTEM,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,2,0,2,0
2024,MAPA DE INUNDAÇÕES E MOVIMENTOS DE MASSA DO DESASTRE DO RIO GRANDE DO SUL DE MAIO DE 2024,TÉCNICA,SERVIÇOS TÉCNICOS,0,3,0,1,0
2024,MEMBRO DE COMITÊ: AAAI,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,MEMBRO DE COMITÊ: BRACIS,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,MEMBRO DE COMITÊ: ENIAC,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,MEMBRO DE COMITÊ: ICCSA,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,MEMBRO DE COMITÊ: KDIR,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,MEMBRO DE COMITÊ: SIMBIG,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,MEMBRO DO CA DA COORDENADORIA DE PESQUISA APLICADA E DESENVOLVIMENTO TECNOLÓGICO DO INPE-MCTI,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,MEMBRO DO COMITE GESTOR DO INCT-@BRASIL-LSST,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,METODOLOGIA DA PRODUÇÃO DO MAPA DE INUNDAÇÕES E MOVIMENTOS DE MASSA DO DESASTRE DO RIO GRANDE DO SUL DE MAIO DE 2024,TÉCNICA,DESENVOLVIMENTO DE MATERIAL DIDÁTICO E INSTRUCIONAL,0,3,0,1,0
2024,METODOLOGIA DA PRODUÇÃO DO MAPA DE INUNDAÇÕES E MOVIMENTOS DE MASSA DO DESASTRE DO RS EM MAIO DE 2024,TÉCNICA,SERVIÇOS TÉCNICOS,0,3,0,2,0
2024,MONITORAMENTO DE OPERAÇÕES DE CRÉDITO RURAL POR MEIO DE GEOTECNOLOGIAS,TÉCNICA,CURSO DE CURTA DURAÇÃO,0,3,0,1,0
2024,MONITORAMENTO DE OPERAÇÕES DE CRÉDITO RURAL POR MEIO DE GEOTECNOLOGIAS,TÉCNICA,DESENVOLVIMENTO DE MATERIAL DIDÁTICO E INSTRUCIONAL,0,3,0,1,0
2024,MORPHOLOGICAL CLASSIFICATION OF GALAXIES WITH AI,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,0,0,0
2024,MULTI-STAGE ALGORITHM FOR DETECTING LANDING STRIPS IN THE AMAZON RAINFOREST,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,0,1,0
2024,NONLINEAR HYDROLOGICAL TIME SERIES MODELING TO FORECAST RIVER LEVEL DYNAMICS IN THE RIO NEGRO URUGUAY BASIN,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,2,0,2,0
2024,PANEL 6 - INTERNATIONAL COOPERATION IN SCIENTIFIC RESEARCH AND TECHNOLOGICAL DEVELOPMENT OF SPACE RESOURCE ACTIVITIES,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,0,1,0
2024,PLATAFORMA BRAZIL DATA CUBE PLATFORM,TÉCNICA,CURSO DE CURTA DURAÇÃO,0,2,0,0,0
2024,PLUTÔNIO 238 NA EXPLORAÇÃO ESPACIAL: IMPORTÂNCIA E DIFICULDADES PARA SUA PRODUÇÃO,TÉCNICA,PROGRAMA DE RÁDIO OU TV,0,1,0,0,0
2024,PROCESSAMENTO DE IMAGENS DOS SATÉLITES BRASILEIROS CBERS-4 E CBERS-4A PARA RESPOSTAS RÁPIDAS A DESASTRES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,1,0
2024,PYFORTRACC: A PYTHON ALGORITHM FOR FORECASTING AND TRACKING THE EVOLUTION OF CONFIGURABLE CLUSTERS (BRAZIL),TÉCNICA,APRESENTAÇÃO DE TRABALHO,1,1,0,1,0
2024,PYTHON LIBRARY FOR FORECASTING AND TRACKING THE EVOLUTION OF CONFIGURABLE CLUSTERS,TÉCNICA,DESENVOLVIMENTO DE APLICATIVO,1,1,0,0,0
2024,RECURRENCE MICROSTATES FOR MACHINE LEARNING CLASSIFICATION,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,1,0
2024,RELATÓRIO DE ATIVIDADES P&D - BPG-LSST,TÉCNICA,RELATÓRIO DE PESQUISA,0,1,0,0,0
2024,RELATÓRIO DE VISITA TÉCNICA AO REINO UNIDO - PROJETO FAPESP,TÉCNICA,RELATÓRIO DE PESQUISA,0,1,0,0,0
2024,REVISOR: CAI,TÉCNICA,SERVIÇOS TÉCNICOS,0,1,0,0,0
2024,SEMIVARIOGRAM-BASED DISTANCE FUNCTION FOR GRADUAL COVERAGE LOCATION MODELS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,1,0
2024,SENTIMENT ANALYSIS IN SOCIAL MEDIAS FOR THREATS PREDICTION OF NATURAL EXTREME EVENTS,BIBLIOGRÁFICA,LIVRO,0,2,1,0,0
2024,SHPSTREETGRAPH: FROM SPATIAL RELATIONS OF STREETS TO GRAPH REPRESENTATIONS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,0,1,0
2024,SPATIAL ANALYSIS OF DENGUE THROUGH THE REPRODUCTION NUMBERS RELATING TO SOCIOECONOMIC FEATURES: CASE STUDIES ON TWO BRAZILIAN URBAN CENTERS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,SPE - SISTEMA DE POSICIONAMENTO EMBARCÁVEL PARA TECNOLOGIA PITER,TÉCNICA,DESENVOLVIMENTO DE APLICATIVO,0,1,0,0,0
2024,SYSTEMATIC TECHNOLOGY REVIEW OF OGC STANDARDS AND OSGEO PROJECTS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,1,1,0,0,0
2024,TEMPERATURE EFFECTS ON NEURONAL SYNCHRONIZATION IN SEIZURES,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,1,0,1,0
2024,TERRABRASILIS: TECNOLOGIA PARA TRANSPARÊNCIA NOS DADOS DE MONITORAMENTO AMBIENTAL DO INPE,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,0,0,0
2024,THE 2018 BRAZILIAN PRESIDENTIAL RUN-OFF: A COMPLEX NETWORK ANALYSIS APPROACH USING TWITTER DATA,BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,1,1,0,0
2024,"THE IMPACT OF INTERDISCIPLINARY, GENDER AND GEOGRAPHIC DISTRIBUTIONS ON THE CITATION PATTERNS OF THE JOURNAL OF CHEMICAL INFORMATION AND MODELING",BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,2,0
2024,THE IMPACT OF SOCIAL INTERVENTIONS ON COVID-19 SPREADING BASED ON MULTILAYER COMMUTER NETWORKS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,THE ROLE OF DIGITAL PLATFORMS SUPPORTED BY AI IN THE ASSESSMENT OF PRACTICAL SKILLS LEARNING,TÉCNICA,APRESENTAÇÃO DE TRABALHO,0,1,1,0,0
2024,THE ROLE OF GENERATIVE AI IN GALAXY MORPHOLOGICAL CLASSIFICATION,TÉCNICA,APRESENTAÇÃO DE TRABALHO,1,1,1,0,0
2024,THE USE OF ENTROPY OF RECURRENCE MICROSTATES AND ARTIFICIAL INTELLIGENCE TO DETECT CARDIAC ARRHYTHMIA IN ECG RECORDS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,0,0
2024,TRACKING AND PREDICTION OF PRECIPITATING SYSTEMS IN SOUTH AMERICA USING UNSUPERVISED MACHINE LEARNING,TÉCNICA,APRESENTAÇÃO DE TRABALHO,1,1,0,2,0
2024,UNCERTAINTY PROPAGATION ANALYSIS FOR DISTRIBUTED HYDROLOGICAL FORECASTING USING A NEURAL NETWORK,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,2,0,2,0
2024,UNRAVELLING COVID-19 WAVES IN RIO DE JANEIRO CITY: QUALITATIVE INSIGHTS FROM NONLINEAR DYNAMIC ANALYSIS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,1,0,0
2024,UNVEILING GALAXY MORPHOLOGY THROUGH AN UNSUPERVISED-SUPERVISED HYBRID APPROACH,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,1,2,0,2,0
2024,UPDATING A SYSTEMATIC LITERATURE REVIEW ON KNOWLEDGE MANAGEMENT DIAGNOSTICS IN SOFTWARE DEVELOPMENT ORGANIZATIONS,BIBLIOGRÁFICA,TRABALHO EM ANAIS,0,1,0,2,0
2024,URBAN HEAT ISLAND AND ELECTRICAL LOAD ESTIMATION USING MACHINE LEARNING IN METROPOLITAN AREA OF RIO DE JANEIRO,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,2,0
2024,USE OF INFORMATION FROM THE DIGITAL ELEVATION MODEL IN AUTONOMOUS AIR NAVIGATION BASED ON IMAGE ODOMETRY,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,1,0
2024,VII WORKSHOP ON DATA SCIENCE BEST PRACTICES ON DATA SHARING AND DATA SYNTHESIS,TÉCNICA,ORGANIZAÇÃO DE EVENTO,0,1,0,3,0
2024,VISUAL POLITICAL COMMUNICATION ON INSTAGRAM: A COMPARATIVE STUDY OF BRAZILIAN PRESIDENTIAL ELECTIONS,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,0,1,0
2024,XGBOOST AND MULTITEMPORAL DETER DATA FOR DEFORESTATION FORECASTING,BIBLIOGRÁFICA,ARTIGO EM PERIÓDICO,0,1,1,2,0
